contract_id,client_id,contract_type,status,date_eff
70397,568407,PRET,ACTIF,2026-12-01T00:00:00
99158,920076,PRET,FERME,2026-12-01T00:00:00
18894,870973,HYPOTHEQUE,ACTIF,2026-12-01T00:00:00
28847,886784,HYPOTHEQUE,ACTIF,2026-12-01T00:00:00
85486,635321,PRET,FERME,2026-12-01T00:00:00
84456,622076,PRET,ACTIF,2026-12-01T00:00:00
65980,151814,HYPOTHEQUE,FERME,2026-12-01T00:00:00
48278,541871,HYPOTHEQUE,ACTIF,2026-12-01T00:00:00
43861,302875,HYPOTHEQUE,ACTIF,2026-12-01T00:00:00
78802,986601,PRET,FERME,2026-12-01T00:00:00
32906,266043,HYPOTHEQUE,ACTIF,2026-12-01T00:00:00
19677,963446,PRET,ACTIF,2026-12-01T00:00:00
91320,793693,PRET,FERME,2026-12-01T00:00:00
