contract_id,client_id,contract_type,status,date_eff
53965,491308,PRET,ACTIF,2026-12-06T00:00:00
52325,939442,PRET,FERME,2026-12-06T00:00:00
81236,237577,PRET,FERME,2026-12-06T00:00:00
31651,631424,HYPOTHEQUE,FERME,2026-12-06T00:00:00
19773,574179,PRET,FERME,2026-12-06T00:00:00
40267,819376,HYPOTHEQUE,ACTIF,2026-12-06T00:00:00
54247,684363,PRET,FERME,2026-12-06T00:00:00
74236,943490,PRET,FERME,2026-12-06T00:00:00
60559,878423,PRET,ACTIF,2026-12-06T00:00:00
64655,146254,PRET,ACTIF,2026-12-06T00:00:00
53676,285763,PRET,ACTIF,2026-12-06T00:00:00
