contract_id,client_id,contract_type,status,date_eff
18417,264784,PRET,FERME,2026-12-02T00:00:00
82174,515364,HYPOTHEQUE,FERME,2026-12-02T00:00:00
17034,804417,PRET,ACTIF,2026-12-02T00:00:00
92502,421209,HYPOTHEQUE,FERME,2026-12-02T00:00:00
90860,171344,HYPOTHEQUE,FERME,2026-12-02T00:00:00
17707,885970,HYPOTHEQUE,FERME,2026-12-02T00:00:00
98356,740040,PRET,ACTIF,2026-12-02T00:00:00
69153,588813,HYPOTHEQUE,FERME,2026-12-02T00:00:00
25283,127985,PRET,FERME,2026-12-02T00:00:00
68394,385776,HYPOTHEQUE,FERME,2026-12-02T00:00:00
42820,799495,PRET,ACTIF,2026-12-02T00:00:00
86880,729282,HYPOTHEQUE,ACTIF,2026-12-02T00:00:00
92283,620827,HYPOTHEQUE,FERME,2026-12-02T00:00:00
24703,850181,HYPOTHEQUE,FERME,2026-12-02T00:00:00
56136,445421,HYPOTHEQUE,FERME,2026-12-02T00:00:00
