contract_id,client_id,contract_type,status,date_eff
78633,467340,HYPOTHEQUE,FERME,2026-10-01T00:00:00
55262,784401,PRET,FERME,2026-10-01T00:00:00
51378,588326,HYPOTHEQUE,ACTIF,2026-10-01T00:00:00
83030,445143,PRET,ACTIF,2026-10-01T00:00:00
34161,639381,PRET,FERME,2026-10-01T00:00:00
46699,899726,HYPOTHEQUE,ACTIF,2026-10-01T00:00:00
24807,730209,HYPOTHEQUE,ACTIF,2026-10-01T00:00:00
55581,294944,PRET,FERME,2026-10-01T00:00:00
72383,468299,HYPOTHEQUE,FERME,2026-10-01T00:00:00
31897,859049,HYPOTHEQUE,FERME,2026-10-01T00:00:00
45233,867036,HYPOTHEQUE,FERME,2026-10-01T00:00:00
34095,457800,HYPOTHEQUE,ACTIF,2026-10-01T00:00:00
19578,646781,PRET,FERME,2026-10-01T00:00:00
25826,712757,HYPOTHEQUE,ACTIF,2026-10-01T00:00:00
21027,941901,PRET,ACTIF,2026-10-01T00:00:00
