contract_id,client_id,contract_type,status,date_eff
70068,278641,PRET,FERME,2026-12-03T00:00:00
64539,548072,HYPOTHEQUE,FERME,2026-12-03T00:00:00
78602,522028,HYPOTHEQUE,FERME,2026-12-03T00:00:00
73864,755004,PRET,FERME,2026-12-03T00:00:00
58558,162860,PRET,FERME,2026-12-03T00:00:00
12298,819050,PRET,FERME,2026-12-03T00:00:00
75768,590144,HYPOTHEQUE,ACTIF,2026-12-03T00:00:00
68060,925368,PRET,FERME,2026-12-03T00:00:00
14554,933790,HYPOTHEQUE,FERME,2026-12-03T00:00:00
15446,950592,HYPOTHEQUE,FERME,2026-12-03T00:00:00
15304,160181,PRET,FERME,2026-12-03T00:00:00
41752,691247,HYPOTHEQUE,FERME,2026-12-03T00:00:00
48520,834817,PRET,ACTIF,2026-12-03T00:00:00
38688,476263,HYPOTHEQUE,FERME,2026-12-03T00:00:00
