contract_id,client_id,contract_type,status,date_eff
44831,374759,HYPOTHEQUE,ACTIF,2026-10-04T00:00:00
83400,189345,HYPOTHEQUE,ACTIF,2026-10-04T00:00:00
53523,111944,PRET,ACTIF,2026-10-04T00:00:00
98503,276683,HYPOTHEQUE,FERME,2026-10-04T00:00:00
16734,273565,PRET,ACTIF,2026-10-04T00:00:00
74605,142839,PRET,FERME,2026-10-04T00:00:00
87056,241426,PRET,ACTIF,2026-10-04T00:00:00
46596,811571,PRET,FERME,2026-10-04T00:00:00
74778,826054,PRET,ACTIF,2026-10-04T00:00:00
41086,489450,HYPOTHEQUE,FERME,2026-10-04T00:00:00
29993,197445,PRET,ACTIF,2026-10-04T00:00:00
91431,882834,HYPOTHEQUE,ACTIF,2026-10-04T00:00:00
21720,826664,PRET,FERME,2026-10-04T00:00:00
