transaction_id,client_id,account_id,amount,currency,transaction_ts
8041475,951390,1400554,-3268.3,CAD,2026-12-02T00:00:00
7166295,462636,6413335,-2820.18,CAD,2026-12-02T00:00:00
7628581,266261,9799853,-4796.62,USD,2026-12-02T00:00:00
3505088,433675,9237282,1983.88,CAD,2026-12-02T00:00:00
6331083,211183,3156858,-2831.35,USD,2026-12-02T00:00:00
3973147,222593,6191295,-4485.91,USD,2026-12-02T00:00:00
5019221,204096,2083569,-2460.58,CAD,2026-12-02T00:00:00
6240295,262248,1092868,2936.61,CAD,2026-12-02T00:00:00
7060395,261311,9497785,4260.48,CAD,2026-12-02T00:00:00
3765558,492933,9523222,2519.64,CAD,2026-12-02T00:00:00
4818105,478080,3933435,3271.8,USD,2026-12-02T00:00:00
7308831,200725,1188797,-1867.4,CAD,2026-12-02T00:00:00
1806097,634138,7211960,-1246.12,USD,2026-12-02T00:00:00
3956687,246391,6974355,-4456.56,CAD,2026-12-02T00:00:00
2266358,147289,6012107,-1495.28,CAD,2026-12-02T00:00:00
9716726,153785,5544091,-2166.23,USD,2026-12-02T00:00:00
3096995,585205,1255007,-3315.78,USD,2026-12-02T00:00:00
8525272,322634,8292003,-491.27,CAD,2026-12-02T00:00:00
9269720,388383,8058095,-4263.98,CAD,2026-12-02T00:00:00
1308432,687763,8610116,-1989.34,USD,2026-12-02T00:00:00
5376907,566430,9760378,2070.31,CAD,2026-12-02T00:00:00
6613996,946138,5031712,-780.5,USD,2026-12-02T00:00:00
4214380,955809,4914675,-3260.24,USD,2026-12-02T00:00:00
4012110,453491,1700869,-1019.73,USD,2026-12-02T00:00:00
4853918,171948,9940855,4011.55,CAD,2026-12-02T00:00:00
7185939,350181,9738070,4052.21,CAD,2026-12-02T00:00:00
3061942,909204,2355994,-276.02,USD,2026-12-02T00:00:00
3780277,505857,2703873,610.08,CAD,2026-12-02T00:00:00
7422403,834454,4106725,498.49,USD,2026-12-02T00:00:00
2422389,563452,7901457,-3067.66,CAD,2026-12-02T00:00:00
9641014,543337,5998610,4408.85,USD,2026-12-02T00:00:00
7966492,570129,7265486,2898.34,CAD,2026-12-02T00:00:00
4884701,842961,2357771,-4717.13,CAD,2026-12-02T00:00:00
1700086,266460,8550357,-91.57,USD,2026-12-02T00:00:00
2521335,104186,1560557,-682.47,USD,2026-12-02T00:00:00
4753444,157543,9544542,1768.21,USD,2026-12-02T00:00:00
4301181,292312,6122551,102.69,CAD,2026-12-02T00:00:00
7628277,223960,3670179,3196.06,CAD,2026-12-02T00:00:00
9463892,141118,8062115,-525.99,USD,2026-12-02T00:00:00
2969642,282891,6348135,1048.96,CAD,2026-12-02T00:00:00
7719860,499362,4300026,2171.09,USD,2026-12-02T00:00:00
3268102,823996,9086735,4263.95,USD,2026-12-02T00:00:00
9707162,563413,5696418,-1002.39,USD,2026-12-02T00:00:00
4220941,496598,1169187,-4880.97,USD,2026-12-02T00:00:00
3572657,352924,4722187,2508.76,CAD,2026-12-02T00:00:00
3322452,833263,5475238,2976.81,CAD,2026-12-02T00:00:00
1151319,188544,4972913,-324.8,USD,2026-12-02T00:00:00
1268931,104598,4899597,3310.6,USD,2026-12-02T00:00:00
6343144,294000,7486722,-944.83,USD,2026-12-02T00:00:00
7817604,468341,9936545,804.45,USD,2026-12-02T00:00:00
9285137,946849,2174569,-3769.2,CAD,2026-12-02T00:00:00
6230815,581529,9653315,-156.82,USD,2026-12-02T00:00:00
9966079,340749,1802681,334.39,USD,2026-12-02T00:00:00
4478120,280651,8906550,3669.75,CAD,2026-12-02T00:00:00
1056461,218472,7879118,4433.46,USD,2026-12-02T00:00:00
9743424,908755,1928303,2355.21,CAD,2026-12-02T00:00:00
9005544,533908,9480182,-3721.81,USD,2026-12-02T00:00:00
7477646,261587,6217847,255.54,USD,2026-12-02T00:00:00
6054356,952384,3121454,-4986.6,CAD,2026-12-02T00:00:00
3223446,402719,3252235,3851.65,USD,2026-12-02T00:00:00
3337998,241244,1259799,-2705.39,USD,2026-12-02T00:00:00
6707210,745245,6503266,-2564.04,CAD,2026-12-02T00:00:00
6110916,941140,8610013,2948.82,USD,2026-12-02T00:00:00
5303031,882706,3332628,-3764.78,CAD,2026-12-02T00:00:00
8387662,127727,1224835,891.14,USD,2026-12-02T00:00:00
8313008,954152,1736887,1596.97,USD,2026-12-02T00:00:00
8367147,532996,2580138,4449.74,CAD,2026-12-02T00:00:00
3782971,572436,7021605,-3894.86,CAD,2026-12-02T00:00:00
5920688,818813,5816811,3981.24,CAD,2026-12-02T00:00:00
5159102,843001,2705770,2706.87,CAD,2026-12-02T00:00:00
1486839,264539,6129082,-751.97,CAD,2026-12-02T00:00:00
3822492,664882,9232573,4578.56,USD,2026-12-02T00:00:00
6639364,605286,2662074,-2201.18,CAD,2026-12-02T00:00:00
2745391,836795,6533197,-1137.54,USD,2026-12-02T00:00:00
6680555,605670,9646034,-1284.83,USD,2026-12-02T00:00:00
2874930,823080,3414953,4709.16,USD,2026-12-02T00:00:00
3293724,727414,3354928,-2014.34,CAD,2026-12-02T00:00:00
1089012,159215,1857722,1318.67,CAD,2026-12-02T00:00:00
7794426,323896,1588680,-1265.5,USD,2026-12-02T00:00:00
3882896,535687,4230636,-1644.83,USD,2026-12-02T00:00:00
7253735,370322,4269815,-4903.01,CAD,2026-12-02T00:00:00
6744531,168099,5146209,906.99,CAD,2026-12-02T00:00:00
8891960,371951,9774150,-3599.46,CAD,2026-12-02T00:00:00
4015522,959109,8285390,-1435.99,CAD,2026-12-02T00:00:00
2725608,131860,9089463,2868.44,CAD,2026-12-02T00:00:00
3985052,618366,9175225,-455.5,CAD,2026-12-02T00:00:00
5632367,170028,9313148,1128.6,USD,2026-12-02T00:00:00
7215650,858129,3611045,1610.2,CAD,2026-12-02T00:00:00
9303056,619252,9205151,-4643.63,USD,2026-12-02T00:00:00
3703030,850746,8251218,1418.83,USD,2026-12-02T00:00:00
8065640,212570,2513624,-1588.24,USD,2026-12-02T00:00:00
8856050,413242,3878750,-4201.06,CAD,2026-12-02T00:00:00
8136829,472052,8727466,-4171.1,CAD,2026-12-02T00:00:00
1996785,811278,5348324,-599.41,USD,2026-12-02T00:00:00
1639620,795636,1627758,2565.4,CAD,2026-12-02T00:00:00
5866629,257899,2240273,4135.66,CAD,2026-12-02T00:00:00
3710646,237838,2679354,-4052.43,USD,2026-12-02T00:00:00
7875292,118423,8907378,2009.59,CAD,2026-12-02T00:00:00
9260401,267810,3888389,-22.25,CAD,2026-12-02T00:00:00
1661858,111010,4375474,3610.75,USD,2026-12-02T00:00:00
2943411,143246,7345037,-62.8,CAD,2026-12-02T00:00:00
8390308,271976,7357767,-2903.56,CAD,2026-12-02T00:00:00
4295484,189040,9184922,3866.68,USD,2026-12-02T00:00:00
5523710,418951,3962824,-996.12,CAD,2026-12-02T00:00:00
1310810,315960,6391550,4409.71,USD,2026-12-02T00:00:00
9314089,317758,6765069,-1499.9,USD,2026-12-02T00:00:00
6162856,377138,7578718,-4133.6,CAD,2026-12-02T00:00:00
4435501,347242,5222409,-2010.33,USD,2026-12-02T00:00:00
9481622,528098,6098511,3941.5,CAD,2026-12-02T00:00:00
2427238,507598,1265678,378.01,CAD,2026-12-02T00:00:00
7485615,585201,1447572,-1488.08,CAD,2026-12-02T00:00:00
5894030,370795,3960360,1981.28,USD,2026-12-02T00:00:00
2538735,535624,5841252,182.01,CAD,2026-12-02T00:00:00
9393085,286330,8779949,2914.93,USD,2026-12-02T00:00:00
1195811,349516,4257575,210.67,CAD,2026-12-02T00:00:00
7582984,392577,4548120,-547.32,CAD,2026-12-02T00:00:00
2094152,693194,3881846,1159.64,CAD,2026-12-02T00:00:00
3677905,722655,6637881,3575.39,CAD,2026-12-02T00:00:00
1480139,831825,1620937,916.9,CAD,2026-12-02T00:00:00
7909879,877239,5834987,4705.13,CAD,2026-12-02T00:00:00
2840796,769462,7470977,2748.25,USD,2026-12-02T00:00:00
8719410,752365,5049088,3022.68,USD,2026-12-02T00:00:00
8841111,236348,7758231,1781.65,CAD,2026-12-02T00:00:00
7602462,497881,5530154,-1799.95,CAD,2026-12-02T00:00:00
5652758,140077,3739135,3014.72,CAD,2026-12-02T00:00:00
5025462,333793,4060145,-3563.52,CAD,2026-12-02T00:00:00
1373328,829672,4968506,-3400.93,CAD,2026-12-02T00:00:00
5645910,251879,3689999,-1048.48,CAD,2026-12-02T00:00:00
8977003,641433,6261526,1074.32,CAD,2026-12-02T00:00:00
8073995,281434,5920568,-4751.22,CAD,2026-12-02T00:00:00
7990176,860081,3031543,2813.97,CAD,2026-12-02T00:00:00
8518974,594325,5584279,4139.96,USD,2026-12-02T00:00:00
8985293,891343,8678892,-2163.96,USD,2026-12-02T00:00:00
8326500,395297,2405743,-4421.98,CAD,2026-12-02T00:00:00
8927769,161083,4591641,31.94,USD,2026-12-02T00:00:00
5034129,965771,1342981,2406.83,USD,2026-12-02T00:00:00
2803012,920904,5829816,1611.06,CAD,2026-12-02T00:00:00
4260895,423387,6800946,-3090.43,CAD,2026-12-02T00:00:00
8800644,844868,2655740,-4025.12,USD,2026-12-02T00:00:00
2813762,245441,3093385,4313.0,USD,2026-12-02T00:00:00
7845845,113060,6897727,-4387.66,CAD,2026-12-02T00:00:00
3860559,653447,5337228,2519.48,USD,2026-12-02T00:00:00
3950090,297972,7080331,4747.2,USD,2026-12-02T00:00:00
5001324,248124,4171063,748.6,USD,2026-12-02T00:00:00
8927841,306872,9713101,-1467.35,USD,2026-12-02T00:00:00
9939592,336962,1067459,-890.93,CAD,2026-12-02T00:00:00
3903931,528037,1645794,-3184.66,USD,2026-12-02T00:00:00
4234662,519507,8522633,-2360.48,USD,2026-12-02T00:00:00
2668158,209493,6925672,1821.93,CAD,2026-12-02T00:00:00
6150407,296347,2825119,4689.28,USD,2026-12-02T00:00:00
4741249,649300,8754087,2651.33,CAD,2026-12-02T00:00:00
3928483,172147,2877686,2034.97,USD,2026-12-02T00:00:00
1234490,411899,6702566,1539.59,USD,2026-12-02T00:00:00
2781193,971402,6064812,-4320.57,USD,2026-12-02T00:00:00
3845285,945121,9716078,-957.84,USD,2026-12-02T00:00:00
6550499,182961,3982930,-2370.34,USD,2026-12-02T00:00:00
5037666,820084,5527924,4447.52,USD,2026-12-02T00:00:00
6028918,130324,2601327,2494.37,CAD,2026-12-02T00:00:00
7410155,192802,7417735,1574.18,USD,2026-12-02T00:00:00
6367179,501558,9320150,-737.3,USD,2026-12-02T00:00:00
5432170,473749,8233162,3547.42,USD,2026-12-02T00:00:00
1804953,981110,5776034,-931.11,CAD,2026-12-02T00:00:00
1969606,382001,9557968,3925.48,CAD,2026-12-02T00:00:00
3306461,965044,7363020,4246.91,USD,2026-12-02T00:00:00
7117972,490684,9526707,108.2,CAD,2026-12-02T00:00:00
3401446,892699,7062881,-3067.15,USD,2026-12-02T00:00:00
7574038,617610,8515198,2887.12,CAD,2026-12-02T00:00:00
1345848,616549,3149619,2071.54,CAD,2026-12-02T00:00:00
9096594,837208,7867068,2239.82,CAD,2026-12-02T00:00:00
2735290,116925,7243158,2750.23,USD,2026-12-02T00:00:00
4561628,244367,3061609,1497.66,CAD,2026-12-02T00:00:00
6090414,454090,3762386,387.97,CAD,2026-12-02T00:00:00
8871310,934423,2828778,2446.15,CAD,2026-12-02T00:00:00
4502007,679637,7633161,-185.17,USD,2026-12-02T00:00:00
6986501,321132,6757842,418.47,USD,2026-12-02T00:00:00
1176769,186420,8539321,-1515.82,CAD,2026-12-02T00:00:00
5742442,702958,6009588,571.44,CAD,2026-12-02T00:00:00
3522069,387550,2777623,4947.83,USD,2026-12-02T00:00:00
3753317,713485,2352615,4799.55,USD,2026-12-02T00:00:00
7571844,143393,8512969,-231.94,USD,2026-12-02T00:00:00
1908575,510796,9229523,3017.74,USD,2026-12-02T00:00:00
4443168,285789,8269996,-3807.59,CAD,2026-12-02T00:00:00
5643152,861376,2652349,4022.15,USD,2026-12-02T00:00:00
5011589,832599,4042730,-2842.78,CAD,2026-12-02T00:00:00
