contract_id,client_id,contract_type,status,date_eff
29542,532070,HYPOTHEQUE,ACTIF,2026-12-05T00:00:00
55363,957601,PRET,ACTIF,2026-12-05T00:00:00
82560,293290,PRET,ACTIF,2026-12-05T00:00:00
27391,460130,PRET,FERME,2026-12-05T00:00:00
91592,114055,HYPOTHEQUE,FERME,2026-12-05T00:00:00
70117,196146,HYPOTHEQUE,ACTIF,2026-12-05T00:00:00
62424,795507,HYPOTHEQUE,FERME,2026-12-05T00:00:00
23660,748803,PRET,ACTIF,2026-12-05T00:00:00
14058,924866,HYPOTHEQUE,ACTIF,2026-12-05T00:00:00
71251,349971,PRET,FERME,2026-12-05T00:00:00
18284,897794,PRET,FERME,2026-12-05T00:00:00
46342,691564,HYPOTHEQUE,ACTIF,2026-12-05T00:00:00
