contract_id,client_id,contract_type,status,date_eff
38929,322343,PRET,ACTIF,2026-10-03T00:00:00
72640,368747,HYPOTHEQUE,ACTIF,2026-10-03T00:00:00
63589,669612,PRET,FERME,2026-10-03T00:00:00
73430,739106,HYPOTHEQUE,ACTIF,2026-10-03T00:00:00
92121,214786,HYPOTHEQUE,FERME,2026-10-03T00:00:00
68040,566578,HYPOTHEQUE,ACTIF,2026-10-03T00:00:00
46151,408492,HYPOTHEQUE,FERME,2026-10-03T00:00:00
92885,186871,HYPOTHEQUE,FERME,2026-10-03T00:00:00
51024,477546,HYPOTHEQUE,ACTIF,2026-10-03T00:00:00
10047,349127,HYPOTHEQUE,FERME,2026-10-03T00:00:00
