contract_id,client_id,contract_type,status,date_eff
12293,364345,PRET,FERME,2026-12-04T00:00:00
42912,421145,HYPOTHEQUE,FERME,2026-12-04T00:00:00
41847,863463,PRET,ACTIF,2026-12-04T00:00:00
12144,497138,PRET,FERME,2026-12-04T00:00:00
65011,634381,HYPOTHEQUE,ACTIF,2026-12-04T00:00:00
23567,119777,PRET,ACTIF,2026-12-04T00:00:00
35982,498168,HYPOTHEQUE,ACTIF,2026-12-04T00:00:00
64306,460649,PRET,FERME,2026-12-04T00:00:00
11022,112675,HYPOTHEQUE,FERME,2026-12-04T00:00:00
91388,282540,HYPOTHEQUE,ACTIF,2026-12-04T00:00:00
